,PAINTING_INDEX,IMG_SRC,PAINTING_TITLE,SEASON,EPISODE,NUM_COLORS,YOUTUBE_SRC,COLORS,COLOR_HEX,BLACK_GESSO,BRIGHT_RED,BURNT_UMBER,CADMIUM_YELLOW,DARK_SIENNA,INDIAN_RED,INDIAN_YELLOW,LIQUID_BLACK,LIQUID_CLEAR,MIDNIGHT_BLACK,PHTHALO_BLUE,PHTHALO_GREEN,PRUSSIAN_BLUE,SAP_GREEN,TITANIUM_WHITE,VAN_DYKE_BROWN,YELLOW_OCHRE,ALIZARIN_CRIMSON
1,282,HTTPS://WWW.TWOINCHBRUSH.COM/IMAGES/PAINTING282.PNG,A WALK IN THE WOODS,1,1,8,HTTPS://WWW.YOUTUBE.COM/EMBED/OH5P5F5_-7A,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1
2,283,HTTPS://WWW.TWOINCHBRUSH.COM/IMAGES/PAINTING283.PNG,MT. MCKINLEY,1,2,8,HTTPS://WWW.YOUTUBE.COM/EMBED/RINDWHYCELU,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1
3,284,HTTPS://WWW.TWOINCHBRUSH.COM/IMAGES/PAINTING284.PNG,EBONY SUNSET,1,3,9,HTTPS://WWW.YOUTUBE.COM/EMBED/UOZIR7POVCO,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1
4,285,HTTPS://WWW.TWOINCHBRUSH.COM/IMAGES/PAINTING285.PNG,WINTER MIST,1,4,3,HTTPS://WWW.YOUTUBE.COM/EMBED/0PWOIXRIKN4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
5,286,HTTPS://WWW.TWOINCHBRUSH.COM/IMAGES/PAINTING286.PNG,QUIET STREAM,1,5,8,HTTPS://WWW.YOUTUBE.COM/EMBED/DFSIQNJKRFK,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1
6,287,HTTPS://WWW.TWOINCHBRUSH.COM/IMAGES/PAINTING287.PNG,WINTER MOON,1,6,4,HTTPS://WWW.YOUTUBE.COM/EMBED/LOAZRUZX1WI,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
7,288,HTTPS://WWW.TWOINCHBRUSH.COM/IMAGES/PAINTING288.PNG,AUTUMN MOUNTAIN,1,7,8,HTTPS://WWW.YOUTUBE.COM/EMBED/SDDPC8UISD0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1
8,289,HTTPS://WWW.TWOINCHBRUSH.COM/IMAGES/PAINTING289.PNG,PEACEFUL VALLEY,1,8,8,HTTPS://WWW.YOUTUBE.COM/EMBED/KQLFWTOKYZG,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1
9,290,HTTPS://WWW.TWOINCHBRUSH.COM/IMAGES/PAINTING290.PNG,SEASCAPE,1,9,8,HTTPS://WWW.YOUTUBE.COM/EMBED/QXCS7P1VHYQ,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1
10,291,HTTPS://WWW.TWOINCHBRUSH.COM/IMAGES/PAINTING291.PNG,MOUNTAIN LAKE,1,10,8,HTTPS://WWW.YOUTUBE.COM/EMBED/WDNLLYWAL5I,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1
